location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1140.0,2.0,33.06,2,2900.0
Electronic City Phase II,2 BHK,911.0,2.0,26.5,2,2908.8913282107574
Electronic City Phase II,2 BHK,1200.0,2.0,34.65,2,2887.5
Electronic City Phase II,2 BHK,1031.0,2.0,54.48,2,5284.190106692531
Electronic City Phase II,3 BHK,1310.0,2.0,37.83,3,2887.7862595419847
Electronic City Phase II,3 BHK,1651.0,3.0,49.53,3,3000.0
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,4252.336448598131
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,5307.796610169492
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,5288.5906040268455
Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2,4760.74986301616
Electronics City Phase 1,3 BHK,1490.0,3.0,84.0,3,5637.583892617449
Electronics City Phase 1,2 BHK,1175.0,2.0,51.47,2,4380.425531914893
Electronics City Phase 1,2 BHK,1160.0,2.0,52.0,2,4482.758620689655
Electronics City Phase 1,2 BHK,920.0,2.0,33.0,2,3586.9565217391305
Electronics City Phase 1,3 BHK,1750.0,3.0,84.0,3,4800.0
Electronics City Phase 1,3 BHK,1350.0,3.0,55.0,3,4074.074074074074
Electronics City Phase 1,2 BHK,940.0,2.0,40.0,2,4255.31914893617
Electronics City Phase 1,2 BHK,1015.0,2.0,56.0,2,5517.241379310345
Electronics City Phase 1,3 BHK,1595.0,3.0,75.0,3,4702.194357366771
Electronics City Phase 1,3 BHK,1515.0,2.0,80.91,3,5340.59405940594
Electronics City Phase 1,2 BHK,995.0,2.0,46.0,2,4623.115577889447
Electronics City Phase 1,3 BHK,1555.0,2.0,82.0,3,5273.311897106109
Electronics City Phase 1,2 BHK,1340.0,2.0,75.0,2,5597.014925373134
Electronics City Phase 1,3 BHK,1124.0,2.0,55.0,3,4893.238434163701
Electronics City Phase 1,2 BHK,1175.0,2.0,57.0,2,4851.063829787234
Electronics City Phase 1,1 BHK,755.0,1.0,42.41,1,5617.218543046358
Electronics City Phase 1,1 BHK,580.0,1.0,27.0,1,4655.172413793103
Electronics City Phase 1,2 BHK,940.0,2.0,49.0,2,5212.765957446809
Electronics City Phase 1,2 BHK,1335.0,2.0,67.0,2,5018.7265917603
Electronics City Phase 1,2 BHK,1113.12,2.0,55.0,2,4941.066551674573
Electronics City Phase 1,2 BHK,995.0,2.0,42.0,2,4221.105527638191
Electronics City Phase 1,3 BHK,1350.0,3.0,71.0,3,5259.259259259259
Electronics City Phase 1,3 BHK,1445.0,2.0,56.0,3,3875.432525951557
Electronics City Phase 1,2 BHK,995.0,2.0,49.8,2,5005.025125628141
Electronics City Phase 1,1 BHK,635.0,1.0,26.0,1,4094.488188976378
Electronics City Phase 1,2 BHK,1190.0,2.0,68.0,2,5714.285714285715
Electronics City Phase 1,2 BHK,1085.0,2.0,46.0,2,4239.6313364055295
Electronics City Phase 1,3 BHK,1450.0,3.0,72.54,3,5002.758620689656
Electronics City Phase 1,1 RK,360.0,1.0,16.9,1,4694.444444444443
Electronics City Phase 1,1 BHK,638.0,1.0,32.0,1,5015.673981191223
Electronics City Phase 1,2 BHK,1175.0,2.0,64.98,2,5530.212765957447
Electronics City Phase 1,1 BHK,585.0,1.0,21.0,1,3589.74358974359
Electronics City Phase 1,2 BHK,1200.0,2.0,59.76,2,4980.0
Electronics City Phase 1,2 BHK,1145.0,2.0,54.0,2,4716.157205240174
Electronics City Phase 1,2 BHK,1125.0,2.0,65.0,2,5777.777777777777
Electronics City Phase 1,3 BHK,1550.0,2.0,82.0,3,5290.322580645161
Electronics City Phase 1,2 BHK,1175.0,2.0,50.0,2,4255.31914893617
Electronics City Phase 1,2 BHK,865.0,2.0,40.0,2,4624.277456647399
Electronics City Phase 1,3 BHK,1450.0,3.0,70.0,3,4827.586206896552
Electronics City Phase 1,3 BHK,1450.0,2.0,63.51,3,4380.0
Electronics City Phase 1,3 BHK,1450.0,3.0,58.0,3,4000.0
Electronics City Phase 1,3 BHK,1800.0,3.0,93.0,3,5166.666666666667
Electronics City Phase 1,2 BHK,1314.0,2.0,60.0,2,4566.2100456621
Electronics City Phase 1,2 BHK,1170.0,2.0,62.0,2,5299.145299145299
Electronics City Phase 1,3 BHK,1450.0,3.0,79.0,3,5448.275862068966
Electronics City Phase 1,2 BHK,940.0,2.0,48.0,2,5106.382978723404
Electronics City Phase 1,2 BHK,940.0,2.0,44.0,2,4680.851063829788
Electronics City Phase 1,2 BHK,1300.0,2.0,67.0,2,5153.846153846154
Electronics City Phase 1,2 BHK,1028.0,2.0,51.0,2,4961.089494163424
Electronics City Phase 1,2 BHK,1080.0,2.0,46.0,2,4259.259259259259
Electronics City Phase 1,2 BHK,1205.0,2.0,60.0,2,4979.253112033195
Electronics City Phase 1,3 BHK,1900.0,3.0,85.0,3,4473.684210526316
Electronics City Phase 1,2 BHK,1305.0,2.0,67.0,2,5134.099616858238
Electronics City Phase 1,1 BHK,755.0,1.0,30.12,1,3989.4039735099336
Electronics City Phase 1,2 BHK,1175.0,2.0,60.0,2,5106.382978723404
Frazer Town,3 BHK,1700.0,3.0,180.0,3,10588.235294117647
Frazer Town,3 BHK,1305.0,3.0,95.45,3,7314.176245210728
Frazer Town,3 BHK,1870.0,3.0,185.0,3,9893.048128342247
Frazer Town,3 BHK,1750.0,3.0,150.0,3,8571.42857142857
Frazer Town,3 BHK,2000.0,3.0,200.0,3,10000.0
Frazer Town,3 BHK,3500.0,4.0,330.0,3,9428.57142857143
Frazer Town,3 BHK,2350.0,4.0,285.0,3,12127.659574468085
Frazer Town,2 BHK,1550.0,2.0,140.0,2,9032.258064516129
Frazer Town,3 BHK,1900.0,4.0,145.0,3,7631.578947368421
Frazer Town,3 BHK,2560.0,3.0,265.0,3,10351.5625
Frazer Town,3 BHK,2400.0,3.0,260.0,3,10833.333333333334
Frazer Town,3 BHK,2560.0,3.0,288.0,3,11250.0
Frazer Town,4 BHK,3436.0,5.0,341.0,4,9924.330616996507
Frazer Town,4 BHK,4856.0,5.0,410.0,4,8443.163097199342
Frazer Town,2 BHK,1315.0,2.0,140.0,2,10646.38783269962
Frazer Town,3 BHK,1706.0,3.0,154.0,3,9026.963657678782
Frazer Town,3 BHK,2079.0,3.0,220.0,3,10582.010582010582
Frazer Town,4 BHK,3435.0,2.0,341.0,4,9927.21979621543
Frazer Town,4 BHK,3436.0,5.0,345.0,4,10040.745052386495
Frazer Town,3 BHK,3100.0,3.0,400.0,3,12903.225806451614
Frazer Town,3 BHK,5400.0,3.0,400.0,3,7407.407407407408
Frazer Town,2 BHK,1180.0,2.0,105.0,2,8898.305084745763
Frazer Town,4 BHK,2900.0,4.0,325.0,4,11206.896551724138
Frazer Town,3 BHK,1870.0,3.0,180.0,3,9625.668449197861
Frazer Town,1 Bedroom,896.0,1.0,100.0,1,11160.714285714286
Frazer Town,2 BHK,1420.0,2.0,120.0,2,8450.704225352112
GM Palaya,3 BHK,1820.0,2.0,86.0,3,4725.274725274725
GM Palaya,2 BHK,1225.0,2.0,47.0,2,3836.734693877551
GM Palaya,2 BHK,1140.0,2.0,48.95,2,4293.859649122807
GM Palaya,3 BHK,1315.0,2.0,65.0,3,4942.9657794676805
GM Palaya,3 BHK,1315.0,3.0,65.0,3,4942.9657794676805
GM Palaya,3 BHK,1315.0,3.0,64.0,3,4866.920152091255
GM Palaya,3 BHK,1735.0,3.0,70.0,3,4034.5821325648417
GM Palaya,3 BHK,1643.0,2.0,70.0,3,4260.49908703591
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,4588.679245283019
Garudachar Palya,2 BHK,1060.0,2.0,48.7,2,4594.33962264151
Garudachar Palya,2 BHK,1150.0,2.0,52.75,2,4586.95652173913
Garudachar Palya,3 BHK,1295.0,2.0,59.5,3,4594.594594594595
Garudachar Palya,3 BHK,1320.0,2.0,60.6,3,4590.909090909091
Garudachar Palya,3 BHK,1295.0,2.0,59.5,3,4594.594594594595
Garudachar Palya,2 BHK,1150.0,2.0,52.8,2,4591.304347826087
Garudachar Palya,2 BHK,1150.0,2.0,52.8,2,4591.304347826087
Garudachar Palya,2 BHK,1060.0,2.0,48.5,2,4575.471698113208
Garudachar Palya,2 BHK,1150.0,2.0,52.5,2,4565.217391304348
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,4588.679245283019
Garudachar Palya,2 BHK,1060.0,2.0,48.66,2,4590.566037735849
Garudachar Palya,2 BHK,1150.0,2.0,52.0,2,4521.739130434783
Garudachar Palya,2 BHK,1154.0,2.0,51.8,2,4488.734835355286
Garudachar Palya,3 BHK,1325.0,2.0,60.0,3,4528.301886792453
Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4,16666.666666666668
Giri Nagar,3 Bedroom,1800.0,3.0,252.0,3,14000.0
Giri Nagar,3 Bedroom,1350.0,3.0,240.0,3,17777.777777777777
Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4,16666.666666666668
Giri Nagar,6 Bedroom,3000.0,4.0,375.0,6,12500.0
Giri Nagar,6 Bedroom,2400.0,6.0,400.0,6,16666.666666666668
Giri Nagar,4 Bedroom,4000.0,3.0,750.0,4,18750.0
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006.968641114983
Gollarapalya Hosahalli,3 BHK,1408.0,3.0,62.0,3,4403.409090909091
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006.968641114983
Gollarapalya Hosahalli,3 BHK,1318.0,3.0,54.0,3,4097.11684370258
Gollarapalya Hosahalli,2 BHK,861.0,2.0,36.5,2,4239.256678281068
Gollarapalya Hosahalli,3 BHK,1320.0,3.0,60.0,3,4545.454545454545
Gollarapalya Hosahalli,3 BHK,1345.0,3.0,60.0,3,4460.966542750929
Gollarapalya Hosahalli,4 BHK,1905.0,3.0,86.0,4,4514.435695538058
Gollarapalya Hosahalli,3 BHK,1318.0,3.0,56.0,3,4248.86191198786
Gollarapalya Hosahalli,2 BHK,1129.0,2.0,50.0,2,4428.697962798937
Gottigere,2 BHK,1100.0,2.0,40.0,2,3636.3636363636365
Gottigere,2 BHK,967.0,2.0,45.0,2,4653.567735263702
Gottigere,3 BHK,1618.0,3.0,82.5,3,5098.887515451174
Gottigere,2 BHK,1222.0,2.0,63.0,2,5155.482815057283
Gottigere,3 BHK,1600.0,2.0,55.0,3,3437.5
Gottigere,3 BHK,1300.0,3.0,65.0,3,5000.0
Gottigere,2 BHK,950.0,2.0,38.0,2,4000.0
Gottigere,2 BHK,1153.0,2.0,48.5,2,4206.418039895923
Gottigere,1 Bedroom,812.0,1.0,26.0,1,3201.9704433497536
Gottigere,4 Bedroom,2000.0,4.0,82.0,4,4100.0
Gottigere,3 BHK,1460.0,2.0,65.0,3,4452.054794520548
Gottigere,3 BHK,1500.0,3.0,70.0,3,4666.666666666667
Gottigere,3 BHK,1621.0,3.0,72.0,3,4441.702652683529
Gottigere,1 Bedroom,812.0,1.0,26.0,1,3201.9704433497536
Gottigere,2 BHK,990.0,2.0,40.0,2,4040.40404040404
Gottigere,2 BHK,1235.0,2.0,63.0,2,5101.214574898785
Gottigere,3 BHK,1385.0,3.0,64.0,3,4620.938628158845
Gottigere,2 BHK,1000.0,2.0,35.0,2,3500.0
Gottigere,2 BHK,1010.0,2.0,35.0,2,3465.3465346534654
Gottigere,3 BHK,1385.0,2.0,50.0,3,3610.1083032490974
Gottigere,3 BHK,1425.0,2.0,47.0,3,3298.245614035088
Gottigere,3 BHK,1435.0,2.0,62.0,3,4320.557491289199
Gottigere,2 BHK,945.0,2.0,45.0,2,4761.9047619047615
Gottigere,3 BHK,1400.0,2.0,50.0,3,3571.4285714285716
Gottigere,4 Bedroom,2500.0,3.0,120.0,4,4800.0
Gottigere,3 BHK,1230.0,2.0,52.0,3,4227.642276422765
Gottigere,2 BHK,1120.0,2.0,50.0,2,4464.285714285715
Gottigere,3 BHK,1500.0,3.0,63.0,3,4200.0
Gottigere,2 BHK,1200.0,2.0,40.0,2,3333.3333333333335
Gottigere,2 BHK,1280.0,2.0,61.0,2,4765.625
Gottigere,2 BHK,1205.0,2.0,56.58,2,4695.435684647303
Gottigere,2 BHK,1170.0,2.0,40.0,2,3418.803418803419
Gottigere,4 Bedroom,3000.0,3.0,132.0,4,4400.0
Gottigere,3 BHK,1613.0,3.0,72.0,3,4463.732176069436
Gottigere,2 BHK,1110.0,2.0,36.25,2,3265.765765765766
Gottigere,2 BHK,1245.0,2.0,59.0,2,4738.955823293173
Gottigere,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
Green Glen Layout,3 BHK,1670.0,3.0,120.0,3,7185.62874251497
Green Glen Layout,4 BHK,3250.0,4.0,230.0,4,7076.923076923077
Green Glen Layout,3 BHK,1776.42,3.0,105.0,3,5910.764346269463
Green Glen Layout,4 BHK,3250.0,4.0,230.0,4,7076.923076923077
Green Glen Layout,2 BHK,940.0,2.0,56.8,2,6042.553191489362
Green Glen Layout,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
Green Glen Layout,3 BHK,1715.0,3.0,115.0,3,6705.539358600583
Green Glen Layout,3 BHK,1751.0,2.0,115.0,3,6567.6756139348945
Green Glen Layout,3 BHK,1750.0,3.0,130.0,3,7428.571428571428
Green Glen Layout,3 BHK,1530.0,3.0,105.0,3,6862.745098039216
Green Glen Layout,3 BHK,1752.0,3.0,105.0,3,5993.1506849315065
Green Glen Layout,3 BHK,1680.0,4.0,95.0,3,5654.761904761905
Green Glen Layout,3 BHK,1728.0,3.0,125.0,3,7233.7962962962965
Green Glen Layout,3 BHK,1645.0,3.0,110.0,3,6686.930091185411
Green Glen Layout,3 BHK,1517.0,3.0,100.0,3,6591.957811470006
Green Glen Layout,4 BHK,3150.0,4.0,218.0,4,6920.6349206349205
Green Glen Layout,4 BHK,3270.0,4.0,205.0,4,6269.113149847095
Green Glen Layout,3 BHK,1750.0,3.0,120.0,3,6857.142857142857
Green Glen Layout,3 BHK,1751.0,3.0,115.0,3,6567.6756139348945
Green Glen Layout,3 BHK,1750.0,3.0,105.0,3,6000.0
Green Glen Layout,3 BHK,1885.0,3.0,135.0,3,7161.803713527852
Green Glen Layout,3 BHK,1715.0,3.0,120.0,3,6997.084548104956
Green Glen Layout,3 BHK,1623.29,2.0,105.0,3,6468.345150897252
Green Glen Layout,3 BHK,1715.0,3.0,115.0,3,6705.539358600583
Green Glen Layout,3 BHK,1715.0,3.0,105.0,3,6122.448979591837
Green Glen Layout,3 BHK,1600.0,3.0,105.0,3,6562.5
Green Glen Layout,3 BHK,1717.0,3.0,125.0,3,7280.139778683751
Green Glen Layout,2 BHK,1250.0,2.0,75.0,2,6000.0
Green Glen Layout,3 BHK,1715.0,3.0,112.0,3,6530.6122448979595
Gubbalala,3 BHK,1470.0,2.0,82.0,3,5578.231292517007
Gubbalala,3 BHK,1745.0,3.0,104.0,3,5959.885386819485
Gubbalala,3 BHK,1745.0,3.0,115.0,3,6590.25787965616
Gubbalala,3 BHK,1745.0,3.0,110.0,3,6303.7249283667625
Gubbalala,3 BHK,1650.0,3.0,71.0,3,4303.030303030303
Gubbalala,5 BHK,2570.0,4.0,141.0,5,5486.381322957199
Gubbalala,2 BHK,1205.0,2.0,70.0,2,5809.128630705394
Gubbalala,3 BHK,1435.0,2.0,80.0,3,5574.912891986062
Gubbalala,2 BHK,1475.0,2.0,80.0,2,5423.728813559322
Gubbalala,4 Bedroom,2000.0,4.0,85.0,4,4250.0
Gubbalala,2 BHK,1100.0,2.0,49.5,2,4500.0
Gubbalala,2 BHK,1060.0,2.0,46.0,2,4339.622641509434
Gubbalala,3 BHK,2000.0,3.0,125.0,3,6250.0
Gubbalala,4 BHK,4000.0,5.0,195.0,4,4875.0
Gunjur,2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
Gunjur,3 BHK,1356.0,2.0,66.0,3,4867.256637168141
Gunjur,3 BHK,1600.0,3.0,75.0,3,4687.5
Gunjur,4 Bedroom,2000.0,3.0,95.0,4,4750.0
Gunjur,2 BHK,1140.0,2.0,49.11,2,4307.894736842105
Gunjur,2 BHK,1195.0,2.0,44.0,2,3682.0083682008367
Gunjur,2 BHK,1190.0,2.0,40.0,2,3361.344537815126
Gunjur,2 BHK,1457.0,2.0,60.0,2,4118.050789293068
Gunjur,2 BHK,1080.0,2.0,41.0,2,3796.296296296296
Gunjur,3 BHK,2132.0,3.0,80.0,3,3752.34521575985
Gunjur,3 BHK,1800.0,3.0,70.0,3,3888.8888888888887
Gunjur,2 BHK,1175.0,2.0,43.48,2,3700.425531914894
Gunjur,3 BHK,1362.0,3.0,62.63,3,4598.384728340676
Gunjur,2 BHK,1071.0,2.0,51.0,2,4761.9047619047615
Gunjur,2 BHK,1063.0,2.0,40.0,2,3762.9350893697083
Gunjur,2 BHK,1235.0,2.0,52.76,2,4272.064777327935
Gunjur,3 BHK,1362.0,3.0,62.63,3,4598.384728340676
Gunjur,3 BHK,1362.0,3.0,62.63,3,4598.384728340676
Gunjur,3 BHK,1588.0,2.0,90.0,3,5667.506297229219
Gunjur,2 BHK,1235.0,2.0,44.5,2,3603.2388663967613
Gunjur,2 BHK,1457.0,2.0,60.0,2,4118.050789293068
HAL 2nd Stage,3 BHK,1490.0,2.0,300.0,3,20134.228187919463
HAL 2nd Stage,2 Bedroom,600.0,3.0,145.0,2,24166.666666666668
HAL 2nd Stage,3 Bedroom,2700.0,3.0,500.0,3,18518.51851851852
HAL 2nd Stage,5 Bedroom,2040.0,4.0,500.0,5,24509.803921568626
HBR Layout,3 BHK,2800.0,2.0,200.0,3,7142.857142857143
HBR Layout,3 BHK,1722.0,3.0,95.0,3,5516.8408826945415
HBR Layout,4 Bedroom,1200.0,4.0,120.0,4,10000.0
HBR Layout,2 BHK,1200.0,2.0,60.0,2,5000.0
HBR Layout,2 BHK,1004.0,2.0,49.0,2,4880.478087649402
HBR Layout,3 BHK,1783.0,3.0,125.0,3,7010.656197420079
HBR Layout,3 BHK,1656.0,3.0,90.0,3,5434.782608695652
HBR Layout,2 BHK,1089.0,2.0,60.0,2,5509.641873278237
HBR Layout,3 BHK,1700.0,3.0,110.0,3,6470.588235294118
HBR Layout,2 BHK,1198.0,2.0,65.0,2,5425.709515859767
HBR Layout,4 Bedroom,1200.0,4.0,115.0,4,9583.333333333334
HBR Layout,2 Bedroom,1200.0,2.0,120.0,2,10000.0
HBR Layout,3 BHK,1832.0,3.0,160.0,3,8733.624454148472
HRBR Layout,2 BHK,1374.0,2.0,95.0,2,6914.1193595342065
HRBR Layout,2 BHK,1440.0,2.0,98.0,2,6805.555555555556
HRBR Layout,3 BHK,1567.0,3.0,90.0,3,5743.458838544991
HRBR Layout,3 BHK,2800.0,3.0,250.0,3,8928.57142857143
HRBR Layout,2 BHK,1210.0,2.0,75.0,2,6198.347107438017
HRBR Layout,2 BHK,1265.0,2.0,78.0,2,6166.00790513834
HRBR Layout,2 BHK,1170.0,2.0,75.0,2,6410.25641025641
HRBR Layout,3 BHK,1335.0,2.0,87.0,3,6516.853932584269
HRBR Layout,4 BHK,1900.0,3.0,90.0,4,4736.8421052631575
HRBR Layout,3 BHK,1625.0,3.0,120.0,3,7384.615384615385
HRBR Layout,2 BHK,1301.0,2.0,120.0,2,9223.674096848577
HRBR Layout,2 BHK,1145.0,2.0,68.5,2,5982.532751091703
HRBR Layout,2 BHK,1300.0,2.0,90.0,2,6923.076923076923
HSR Layout,3 BHK,1400.0,3.0,56.0,3,4000.0
HSR Layout,2 BHK,1372.0,2.0,68.0,2,4956.268221574344
HSR Layout,3 BHK,1430.0,2.0,65.0,3,4545.454545454545
HSR Layout,3 BHK,1475.0,3.0,75.0,3,5084.745762711865
HSR Layout,2 BHK,1467.0,2.0,55.0,2,3749.147920927062
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,2 BHK,1372.0,2.0,61.0,2,4446.064139941691
HSR Layout,3 BHK,1750.0,3.0,95.0,3,5428.571428571428
HSR Layout,3 BHK,2424.0,3.0,90.0,3,3712.871287128713
HSR Layout,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
HSR Layout,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,2 BHK,1372.0,2.0,61.0,2,4446.064139941691
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,2 BHK,1185.0,2.0,60.0,2,5063.291139240507
HSR Layout,2 BHK,1127.0,2.0,68.0,2,6033.717834960071
HSR Layout,3 BHK,1600.0,2.0,115.0,3,7187.5
HSR Layout,2 BHK,1145.0,2.0,48.0,2,4192.139737991266
HSR Layout,2 BHK,1009.0,2.0,56.0,2,5550.049554013875
HSR Layout,2 BHK,1300.0,2.0,98.0,2,7538.461538461538
HSR Layout,3 BHK,2400.0,3.0,88.0,3,3666.6666666666665
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,2 BHK,1126.0,2.0,69.0,2,6127.886323268206
HSR Layout,3 BHK,1360.0,2.0,53.0,3,3897.0588235294117
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,2 BHK,1145.0,2.0,46.0,2,4017.467248908297
HSR Layout,2 BHK,1142.0,2.0,65.0,2,5691.768826619965
HSR Layout,2 BHK,1145.0,2.0,46.0,2,4017.467248908297
HSR Layout,3 BHK,1844.0,3.0,95.0,3,5151.843817787419
HSR Layout,2 BHK,1203.0,2.0,72.0,2,5985.037406483791
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,5 Bedroom,4200.0,5.0,245.0,5,5833.333333333333
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,2 BHK,1145.0,2.0,46.0,2,4017.467248908297
HSR Layout,2 BHK,1009.0,2.0,56.0,2,5550.049554013875
HSR Layout,2 BHK,1145.0,2.0,46.0,2,4017.467248908297
HSR Layout,2 BHK,1100.0,2.0,44.0,2,4000.0
HSR Layout,2 BHK,1203.0,2.0,60.0,2,4987.5311720698255
HSR Layout,2 BHK,1120.0,2.0,70.0,2,6250.0
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
HSR Layout,2 BHK,1289.0,2.0,70.0,2,5430.566330488751
HSR Layout,3 BHK,1844.0,3.0,89.0,3,4826.46420824295
HSR Layout,2 BHK,1203.0,2.0,60.0,2,4987.5311720698255
HSR Layout,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645.1612903225805
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Haralur Road,4 Bedroom,2650.0,4.0,198.0,4,7471.698113207547
Haralur Road,4 BHK,2805.0,5.0,154.0,4,5490.196078431372
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Haralur Road,2 BHK,1202.0,2.0,53.0,2,4409.317803660566
Haralur Road,2 BHK,1056.0,2.0,61.0,2,5776.515151515152
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Haralur Road,3 BHK,1810.0,3.0,100.0,3,5524.861878453039
Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852.5963149078725
Haralur Road,4 BHK,2805.0,4.0,154.0,4,5490.196078431372
Haralur Road,2 BHK,1225.0,2.0,67.38,2,5500.408163265306
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
Haralur Road,3 BHK,1920.0,3.0,115.0,3,5989.583333333333
Haralur Road,3 BHK,1875.0,3.0,110.0,3,5866.666666666667
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Haralur Road,2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852.5963149078725
Haralur Road,3 BHK,2017.0,3.0,125.0,3,6197.322756569162
Haralur Road,2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
Haralur Road,3 BHK,1875.0,3.0,110.0,3,5866.666666666667
Haralur Road,2 BHK,1092.0,2.0,44.0,2,4029.3040293040294
Haralur Road,3 BHK,2475.0,4.0,130.0,3,5252.525252525253
Haralur Road,2 BHK,1300.0,2.0,73.0,2,5615.384615384615
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Haralur Road,3 BHK,1850.0,3.0,110.0,3,5945.945945945946
Haralur Road,2 BHK,1225.0,2.0,67.38,2,5500.408163265306
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Haralur Road,4 BHK,3400.0,5.0,240.0,4,7058.823529411765
Haralur Road,2 BHK,1464.0,2.0,56.0,2,3825.136612021858
Haralur Road,2 BHK,1230.0,2.0,78.0,2,6341.463414634146
Haralur Road,2 BHK,1000.0,2.0,44.0,2,4400.0
Haralur Road,2 BHK,1300.0,2.0,79.0,2,6076.923076923077
Haralur Road,3 BHK,1444.0,2.0,80.0,3,5540.16620498615
Haralur Road,2 BHK,1088.0,2.0,68.0,2,6250.0
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Haralur Road,2 BHK,1225.0,2.0,70.0,2,5714.285714285715
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Haralur Road,2 BHK,1194.0,2.0,46.0,2,3852.5963149078725
Haralur Road,3 BHK,1830.0,3.0,101.0,3,5519.12568306011
Haralur Road,3 BHK,1810.0,3.0,126.0,3,6961.325966850829
Haralur Road,2 BHK,1464.0,2.0,56.0,2,3825.136612021858
Haralur Road,3 BHK,1520.0,2.0,96.0,3,6315.789473684211
Haralur Road,2 BHK,1300.0,2.0,75.0,2,5769.2307692307695
Haralur Road,3 BHK,2017.0,2.0,125.0,3,6197.322756569162
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
Haralur Road,4 BHK,2805.0,5.0,160.0,4,5704.0998217468805
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
Haralur Road,3 BHK,2017.0,3.0,105.0,3,5205.751115518096
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Haralur Road,3 BHK,1520.0,2.0,90.0,3,5921.0526315789475
Haralur Road,2 BHK,1300.0,2.0,60.0,2,4615.384615384615
Haralur Road,3 BHK,1985.0,3.0,130.0,3,6549.11838790932
Haralur Road,3 BHK,1255.0,2.0,90.0,3,7171.314741035857
Haralur Road,2 BHK,1056.0,2.0,60.0,2,5681.818181818182
Haralur Road,2 BHK,1140.0,2.0,42.0,2,3684.2105263157896
Haralur Road,2 BHK,1245.0,2.0,62.0,2,4979.919678714859
Haralur Road,2 BHK,1140.0,2.0,58.0,2,5087.7192982456145
Haralur Road,2 BHK,1140.0,2.0,42.0,2,3684.2105263157896
Haralur Road,2 BHK,1027.0,2.0,43.0,2,4186.952288218111
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Haralur Road,3 BHK,1560.0,3.0,90.0,3,5769.2307692307695
Haralur Road,3 BHK,1520.0,2.0,85.0,3,5592.105263157895
